Date,Day,Temp,Genotype,Flask,Method,Count1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Average,Density,Densityx10000
5/27/2019,8,32,FLCass,4,0,83,64,76,89,,,,,,,78,86666.66667,8.666666667
5/27/2019,8,32,CCMP2464,1,0,5,3,3,8,,,,,,,4.75,5277.777778,0.527777778
5/27/2019,8,32,CCMP2464,2,0,8,4,6,4,,,,,,,5.5,6111.111111,0.611111111
5/27/2019,8,32,CCMP2464,3,0,2,3,1,4,,,,,,,2.5,2777.777778,0.277777778
5/27/2019,8,32,CCMP2464,4,0,11,9,6,4,,,,,,,7.5,8333.333333,0.833333333
5/27/2019,8,32,RT362,1,1,91,98,105,97,,,,,,,97.75,244375,24.4375
5/27/2019,8,32,RT362,2,1,120,113,112,116,,,,,,,115.25,288125,28.8125
5/27/2019,8,32,RT362,3,1,133,111,112,109,,,,,,,116.25,290625,29.0625
5/27/2019,8,32,RT362,4,1,110,114,130,110,,,,,,,116,290000,29
5/27/2019,8,32,KB8,1,0,77,48,77,59,,,,,,,65.25,72500,7.25
5/27/2019,8,32,KB8,2,0,82,87,118,107,,,,,,,98.5,109444.4444,10.94444444
5/27/2019,8,32,KB8,3,0,57,88,72,57,,,,,,,68.5,76111.11111,7.611111111
5/27/2019,8,32,KB8,4,0,23,45,50,31,,,,,,,37.25,41388.88889,4.138888889
5/29/2019,10,26,CCMP2464,1,0,7,11,3,6,,,,,,,6.75,7500,0.75
5/29/2019,10,26,CCMP2464,2,0,3,9,6,8,,,,,,,6.5,7222.222222,0.722222222
5/29/2019,10,26,CCMP2464,3,0,6,9,7,9,,,,,,,7.75,8611.111111,0.861111111
5/29/2019,10,26,CCMP2464,4,0,8,9,7,5,,,,,,,7.25,8055.555556,0.805555556
5/29/2019,10,26,KB8,1,2,52,32,55,42,,,,,,,45.25,452500,45.25
5/29/2019,10,26,KB8,2,2,23,34,33,34,,,,,,,31,310000,31
5/29/2019,10,26,KB8,3,2,38,48,26,38,,,,,,,37.5,375000,37.5
5/29/2019,10,26,KB8,4,2,37,31,36,24,,,,,,,32,320000,32
5/29/2019,10,26,RT362,1,2,55,67,55,47,,,,,,,56,560000,56
5/29/2019,10,26,RT362,2,2,61,41,92,63,,,,,,,64.25,642500,64.25
5/29/2019,10,26,RT362,3,2,78,74,48,53,,,,,,,63.25,632500,63.25
5/29/2019,10,26,RT362,4,2,34,86,62,73,,,,,,,63.75,637500,63.75
5/29/2019,10,26,FLCass,1,2,30,21,27,67,,,,,,,36.25,362500,36.25
5/29/2019,10,26,FLCass,2,1,77,68,93,94,,,,,,,83,207500,20.75
5/29/2019,10,26,FLCass,3,1,113,91,95,95,,,,,,,98.5,246250,24.625
5/29/2019,10,26,FLCass,4,1,68,65,81,81,,,,,,,73.75,184375,18.4375
5/29/2019,10,26,CCMP2458,1,2,35,47,37,47,,,,,,,41.5,415000,41.5
5/29/2019,10,26,CCMP2458,2,2,36,44,58,36,,,,,,,43.5,435000,43.5
5/29/2019,10,26,CCMP2458,3,2,42,42,55,37,,,,,,,44,440000,44
5/29/2019,10,26,CCMP2458,4,2,42,45,48,30,,,,,,,41.25,412500,41.25
5/29/2019,10,30,CCMP2464,1,0,17,7,4,10,,,,,,,9.5,10555.55556,1.055555556
5/29/2019,10,30,CCMP2464,2,0,8,4,9,5,,,,,,,6.5,7222.222222,0.722222222
5/29/2019,10,30,CCMP2464,3,0,3,5,5,5,,,,,,,4.5,5000,0.5
5/29/2019,10,30,CCMP2464,4,0,7,4,6,4,,,,,,,5.25,5833.333333,0.583333333
5/29/2019,10,30,CCMP2458,1,2,102,75,72,81,,,,,,,82.5,825000,82.5
5/29/2019,10,30,CCMP2458,2,2,86,70,88,115,,,,,,,89.75,897500,89.75
5/29/2019,10,30,CCMP2458,3,2,78,78,95,84,,,,,,,83.75,837500,83.75
5/29/2019,10,30,CCMP2458,4,2,76,106,76,72,,,,,,,82.5,825000,82.5
5/29/2019,10,30,KB8,1,2,81,49,86,90,,,,,,,76.5,765000,76.5
5/29/2019,10,30,KB8,2,2,95,52,79,85,,,,,,,77.75,777500,77.75
5/29/2019,10,30,KB8,3,2,69,61,73,70,,,,,,,68.25,682500,68.25
5/29/2019,10,30,KB8,4,2,83,72,74,65,,,,,,,73.5,735000,73.5
5/29/2019,10,30,FLCass,1,2,56,58,61,46,,,,,,,55.25,552500,55.25
5/29/2019,10,30,FLCass,2,2,38,49,60,33,,,,,,,45,450000,45
5/29/2019,10,30,FLCass,3,2,54,54,41,43,,,,,,,48,480000,48
5/29/2019,10,30,FLCass,4,2,61,45,76,73,,,,,,,63.75,637500,63.75
5/29/2019,10,30,RT362,1,2,67,87,86,67,,,,,,,76.75,767500,76.75
5/29/2019,10,30,RT362,2,2,55,48,78,57,,,,,,,59.5,595000,59.5
5/29/2019,10,30,RT362,3,2,61,62,77,53,,,,,,,63.25,632500,63.25
5/29/2019,10,30,RT362,4,2,82,51,55,47,,,,,,,58.75,587500,58.75
5/29/2019,10,32,CCMP2464,1,0,7,7,4,8,,,,,,,6.5,7222.222222,0.722222222
5/29/2019,10,32,CCMP2464,2,0,5,4,4,12,,,,,,,6.25,6944.444444,0.694444444
