"WellNum","Date","Genotype","Temp","Plate","Resp.per.bill.cell","GP.per.bill.cell","NP.per.bill.cell"
"c5","20-Jan","Aposymbiotic","26","1",-51.7733333333333,38.1155557333333,89.8888890666667
"5","20-Jan","CCMP2458","26","1",-57.8681318681319,-24.4200243223443,33.4481075457875
"c6","20-Jan","Aposymbiotic","26","1",-10.937984496124,-59.7932815503876,-48.8552970542636
"6","20-Jan","CCMP2458","26","1",-65.8888888888889,-81.6790118518519,-15.790122962963
"c7","20-Jan","Aposymbiotic","26","2",-191.142857142857,-48.253968,142.888889142857
"8","20-Jan","CCMP2458","26","2",-37.5742296918767,-10.696545210084,26.8776844817927
"c11","20-Jan","Aposymbiotic","26","2",-3.21985815602837,-13.3522456737589,-10.1323875177305
"10","20-Jan","CCMP2458","26","2",-85.9592875318066,25.3367261068702,111.296013638677
"c12","20-Jan","Aposymbiotic","26","2",-266.64,-198.008888533333,68.6311114666667
"12","20-Jan","CCMP2458","26","2",-69.3888888888889,-11.4410773737374,57.9478115151515
"75","20-Jan","KB8","26","1",-97.6762452873563,16.816091954023,114.492337241379
"97","20-Jan","RT362","26","1",-34.7434343757576,14.5309090909091,49.2743434666667
"76","20-Jan","KB8","26","1",-80.9520897859327,15.914373088685,96.8664628746177
"101","20-Jan","RT362","26","1",-58.1205008450704,-38.5821596244131,19.5383412206573
"77","20-Jan","KB8","26","1",-75.5539095308642,-30.6271604938272,44.926749037037
"102","20-Jan","RT362","26","1",-36.3644448,-143.84,-107.4755552
"79","20-Jan","KB8","26","2",-173.236111190476,44.7023809523809,217.938492142857
"104","20-Jan","RT362","26","2",-3.19217934191702,-13.6480686695279,-10.4558893276109
"81","20-Jan","KB8","26","2",-2.45982912820513,-33.2,-30.7401708717949
"105","20-Jan","RT362","26","2",-65.8208138028169,-20.6713615023474,45.1494523004695
"84","20-Jan","KB8","26","2",-18.7399131471136,-10.4208566108007,8.31905653631285
